CODE DEPARTEMENT,Code Collectivité,Nom de la collectivité,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Durée,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Taux,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Date,SIREN EPCI,Nom EPCI,population,code,taux
51,086,BREUIL SUR VESLE,3,50,03/04/19,200067213,CU du Grand Reims,328,51086,50
24,351,RIBAGNAC,3,50,03/12/12,200070647,CA Bergeracoise,323,24351,50
27,298,GRAVERON SEMERVILLE,3,100,24/06/14,242700607,CC du Pays du Neubourg,319,27298,100
33,429,SAINT-LEGER-DE-BALSON,3,100,06/03/09,200043974,CC du Sud Gironde,319,33429,100
02,480,MESBRECOURT RICHECOURT,3,50,30/05/18,240200469,CC du Pays de la Serre,318,02480,50
79,274,SAINT MARTIN DE MACON,3,50,04/06/09,247900798,CC du Thouarsais,311,79274,50
53,046,LE BURET,3,50,28/08/08,245300223,CC du Pays de Meslay-Grez,310,53046,50
11,221,LES MARTYS,3,100,17/09/07,200042463,CC de la Montagne Noire,304,11221,100
63,268,PARDINES,3,50,21/09/18,200070407,CA Agglo Pays d'Issoire,297,63268,50
16,213,MAZEROLLES,3,100,12/09/22,200072049,CC de Charente Limousine,296,16213,100
62,490,LATTRE SAINT QUENTIN,3,100,08/09/14,200069482,CC des Campagnes de l'Artois,294,62490,100
88,356,LES POULIERES,3,50,30/09/23,200071066,CA de Saint-Dié-des-Vosges,294,88356,50
03,293,URCAY,3,100,05/02/18,240300558,CC du Pays de Tronçais,291,03293,100
80,624,PIERREGOT,3,50,29/03/19,200070951,CC du Territoire Nord Picardie,285,80624,50
39,445,PUBLY,3,50,16/07/15,200071116,CA ECLA  (Espace Communautaire Lons Agglomération),279,39445,50
55,025,BAALON,3,100,29/09/17,200066132,CC du Pays de Stenay et du Val Dunois,276,55025,100
17,195,LA JARRIE AUDOUIN,3,100,11/09/08,200041689,CC Vals de Saintonge Communauté,273,17195,100
38,535,VERNAS,3,100,17/09/14,200068542,CC Les Balcons du Dauphiné,265,38535,100
64,426,ORIN,3,50,06/12/13,200067262,CC du Haut Béarn,264,64426,50
87,037,LA CHAPELLE-MONTBRANDEIX,3,50,18/09/18,200066520,CC Ouest Limousin,264,87037,50
02,787,VERNEUIL SUR SERRE,3,50,23/06/16,240200469,CC du Pays de la Serre,261,02787,50
11,209,LUC SUR AUDE,3,50,17/02/14,200071926,CC du Limouxin,249,11209,50
04,216,THEZE,3,50,13/07/11,200068765,CC du Sisteronais-Buëch,243,04216,50
86,084,COULONGES,3,100,24/06/16,200070043,CC Vienne et Gartempe,233,86084,100
87,074,LES GRANDS CHEZEAUX,3,50,11/12/19,200071942,CC Haut Limousin en Marche,233,87074,50
16,052,BORS DE MONTMOREAU,3,50,30/06/22,200070282,CC Lavalette Tude Dronne,231,16052,50
03,152,LOUROUX DE BOUBLE,3,50,09/02/21,200071389,CC Saint-Pourçain Sioule Limagne,229,03152,50
23,249,ST YRIEIX LA MONTAGNE,3,100,12/07/21,200044014,CC Creuse Grand Sud,221,23249,100
55,300,LONGEAUX,3,100,29/08/08,200033025,CA de Bar-le-Duc - Sud Meuse,218,55300,100
67,232,KEFFENACH,3,100,04/09/23,200040178,CC de l'Outre-Forêt,204,67232,100
80,529,MERELESSART,3,100,29/09/10,200070993,CA de la Baie de Somme,191,80529,100
76,478,NOTRE-DAME-DU-PARC,3,100,30/09/08,200068534,CC Terroir de Caux,190,76478,100
63,348,SAINT-GENES-LA-TOURETTE,3,100,09/04/21,200070407,CA Agglo Pays d'Issoire,182,63348,100
76,189,CRASVILLE LA MALLET,3,100,14/09/07,200069839,CC de la Côte d'Albâtre,177,76189,100
32,455,TRONCENS,3,50,22/06/23,243200508,CC Bastides et Vallons du Gers,169,32455,50
72,362,LE TRONCHET,3,50,18/09/08,200072700,CC Haute Sarthe Alpes Mancelles,168,72362,50
15,106,LIEUTADES,3,50,27/09/22,200066660,CC de Saint-Flour,166,15106,50
17,157,FENIOUX,3,100,27/09/23,200041689,CC Vals de Saintonge Communauté,165,17157,100
59,062,BEAURIEUX,3,50,16/09/09,200043263,CC Coeur de l'Avesnois,164,59062,50
47,255,ST MARTIN DE BEAUVILLE,3,100,11/09/10,200096956,CA Agglomération d'Agen,162,47255,100
47,087,ENGAYRAC,3,50,20/09/22,200096956,CA Agglomération d'Agen,161,47087,50
19,040,CHAMPAGNAC LA PRUNE,3,50,01/04/16,241927201,CA Tulle Agglo,149,19040,50
66,117,MONT LOUIS,3,50,11/05/10,246600464,CC Pyrénées Catalanes,147,66117,50
89,006,ANCY-LE-LIBRE,3,50,13/10/21,200039642,CC Le Tonnerrois en Bourgogne,146,89006,50
07,118,LABOULE,3,100,04/04/23,240700302,CC du Pays Beaume-Drobie,145,07118,100
21,530,ROUGEMONT,3,50,26/09/17,242101491,CC du Montbardois,143,21530,50
88,174,FOMEREY,3,50,10/09/13,200068757,CA d'Epinal,143,88174,50
79,331,TOURTENAY,3,100,17/10/16,247900798,CC du Thouarsais,126,79331,100
19,104,LAMONGERIE,3,100,28/09/07,241927243,CC du Pays d'Uzerche,121,19104,100
88,139,DOMBASLE EN XAINTOIS,3,100,01/07/09,200068369,CC de Mirecourt Dompaire,120,88139,100
21,647,TRUGNY,3,50,29/09/16,242101509,CC Rives de Saône,118,21647,50
51,549,SOMME YEVRE,3,50,14/09/21,200042703,CC de l'Argonne Champenoise,117,51549,50
47,200,PARRANQUET,3,50,09/05/19,200036523,CC des Bastides en Haut Agenais Périgord,115,47200,50
81,082,LE DOURN,3,100,14/10/22,248100497,CC Val 81,114,81082,100
48,067,GABRIAC,3,50,03/07/19,200069136,CC des Cévennes au Mont Lozère,100,48067,50
88,469,THIRAUCOURT,3,50,04/10/19,200068369,CC de Mirecourt Dompaire,100,88469,50
76,505,POMMEREUX,3,100,29/09/23,200069730,CC des 4 rivières,96,76505,100
80,397,GUEUDECOURT,3,50,30/07/12,200037059,CC de la Haute Somme (Combles - Péronne - Roisel),92,80397,50
51,197,LA CROIX EN CHAMPAGNE,3,50,25/09/14,200042620,CC de la Région de Suippes,84,51197,50
62,433,HERICOURT,3,100,12/09/23,200069672,CC du Ternois,81,62433,100
54,452,REILLON,3,50,23/09/08,200069433,CC de Vezouze en Piémont,73,54452,50
04,040,LE CASTELLARD MELAN,3,100,16/09/14,200067437,CA Provence-Alpes-Agglomération,61,04040,100
52,234,HACOURT,3,100,16/05/22,200069664,CC Meuse Rognon,41,52234,100
65,179,FRECHENDETS,3,100,06/10/22,200070787,CC du Plateau de Lannemezan,26,65179,100
